"source" "target" "weight" "type"
connect design 0.0318 undirected
connect site 0.0009 undirected
connect corpor 0.0449 undirected
connect children 0.0439 undirected
connect user 0.1592 undirected
connect store 0.1455 undirected
connect locat 0.1138 undirected
connect devic 0.0572 undirected
connect shop 0.6401 undirected
connect rank 0.0242 undirected
connect email 0.1499 undirected
connect samsung 0.0716 undirected
connect photograph 0.1229 undirected
connect parent 0.0009 undirected
connect refund 0.0024 undirected
connect registr 0.0672 undirected
connect network 0.0454 undirected
connect android 0.0776 undirected
connect institut 0.0171 undirected
connect mortgag 0.0121 undirected
connect bank 0.0053 undirected
connect twitter 0.0329 undirected
connect internet 0.1474 undirected
connect password 0.1085 undirected
control tablet 0.0864 undirected
control laptop 0.2208 undirected
control transport 0.0527 undirected
control ey 0.0958 undirected
control color 0.3663 undirected
control ag 0.0011 undirected
control school 0.4527 undirected
control appl 0.0536 undirected
control displai 0.0746 undirected
control adult 0.0574 undirected
control residenti 0.1267 undirected
control address 0.0024 undirected
control statu 0.0107 undirected
control web 0.0476 undirected
control onlin 0.0878 undirected
control price 0.0278 undirected
control prescript 0.0055 undirected
control balanc 0.1025 undirected
control profil 0.5686 undirected
control public 0.0546 undirected
control bill 0.1147 undirected
control photo 0.0219 undirected
control vendor 0.0032 undirected
control linkedin 0.2338 undirected
control ipad 0.0379 undirected
control flag 0.0470 undirected
control date 0.0863 undirected
control connect 0.0873 undirected
control health 0.1883 undirected
control express 0.0138 undirected
control amazon 0.0411 undirected
control femal 0.0467 undirected
control birth 0.0879 undirected
control media 0.0532 undirected
control digit 0.0788 undirected
control certif 0.0294 undirected
control design 0.0225 undirected
control level 0.0390 undirected
control colleg 0.0535 undirected
control mother 0.0194 undirected
control seri 0.1252 undirected
control proof 0.0143 undirected
control site 0.0607 undirected
control corpor 0.0077 undirected
control children 0.0661 undirected
control user 0.4583 undirected
control locat 0.0354 undirected
control devic 0.0128 undirected
control social 0.0010 undirected
control rate 0.0278 undirected
control photograph 0.3620 undirected
control parent 0.0166 undirected
