"source" "target" "weight" "type"
"balance" "mothers" 0.0063 "undirected"
"balance" "series" 0.3603 "undirected"
"balance" "ssn" 0.1830 "undirected"
"balance" "tax" 0.0811 "undirected"
"balance" "business" 0.0278 "undirected"
"balance" "corporation" 0.0464 "undirected"
"balance" "speed" 0.0313 "undirected"
"balance" "accounts" 0.0629 "undirected"
"balance" "ship" 0.0176 "undirected"
"balance" "email" 0.0124 "undirected"
"balance" "refund" 0.1157 "undirected"
"balance" "network" 0.0756 "undirected"
"balance" "institution" 0.0882 "undirected"
"balance" "equifax" 0.2662 "undirected"
"balance" "insurer" 0.0461 "undirected"
"balance" "twitter" 0.0007 "undirected"
"balance" "bureau" 0.5801 "undirected"
"balance" "source" 0.0234 "undirected"
"balance" "military" 0.0168 "undirected"
"balance" "credit" 0.2749 "undirected"
"balance" "employer" 0.5559 "undirected"
"banking" "twitter" 0.0451 "undirected"
"banking" "source" 0.1310 "undirected"
"banking" "credit" 0.0654 "undirected"
"banking" "passwords" 0.0722 "undirected"
"bill" "photo" 0.0000 "undirected"
"bill" "vendor" 0.0119 "undirected"
"bill" "assistance" 0.0843 "undirected"
"bill" "publish" 0.1202 "undirected"
"bill" "ipad" 0.1190 "undirected"
"bill" "ticket" 0.1041 "undirected"
"bill" "identifier" 0.0138 "undirected"
"bill" "measurements" 0.2807 "undirected"
"bill" "health" 0.0742 "undirected"
"bill" "debit" 0.0026 "undirected"
"bill" "medical" 0.0211 "undirected"
"bill" "history" 0.0191 "undirected"
"bill" "settings" 0.0689 "undirected"
"bill" "passport" 0.0303 "undirected"
"bill" "score" 0.0083 "undirected"
"bill" "application" 0.0498 "undirected"
"bill" "design" 0.0798 "undirected"
"bill" "college" 0.0990 "undirected"
"bill" "mothers" 0.3118 "undirected"
"bill" "series" 0.0057 "undirected"
"bill" "name" 0.1185 "undirected"
"bill" "dependants" 0.0919 "undirected"
"bill" "pay" 0.1241 "undirected"
"bill" "business" 0.0213 "undirected"
"bill" "store" 0.0375 "undirected"
"bill" "secure" 0.2717 "undirected"
"bill" "accounts" 0.0357 "undirected"
